YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1982,-6.44,-5.25,2.85,7.24,15.78,17.53,18.13,18.93,17.39,10.37,2.00,2.38,-3.95,8.62,18.20,9.92,8.20
1983,0.68,-1.83,6.21,11.59,15.94,16.75,19.57,18.09,14.96,8.38,0.98,-2.37,0.41,11.25,18.14,8.11,9.47
1984,-1.98,-2.97,2.38,8.27,14.63,15.46,17.02,17.40,15.85,10.91,3.86,-3.01,-2.44,8.43,16.63,10.21,8.21
1985,-7.84,-8.51,3.85,10.01,15.36,15.22,18.48,18.87,13.99,7.58,4.23,1.07,-6.45,9.74,17.52,8.60,7.35
1986,-1.52,-2.25,4.36,11.77,16.30,17.07,17.97,20.11,15.67,8.07,2.72,-3.64,-0.90,10.81,18.38,8.82,9.28
1987,-4.46,-0.62,-1.47,8.75,13.19,17.98,21.63,17.52,17.82,8.45,4.78,-0.15,-2.91,6.82,19.04,10.35,8.33
1988,0.98,1.33,3.78,7.73,14.21,16.41,21.11,19.58,14.87,7.79,-1.22,-0.65,0.72,8.57,19.03,7.15,8.87
1989,-2.86,1.52,6.22,11.92,12.55,15.94,18.62,18.89,14.00,9.44,2.15,-2.29,-0.66,10.23,17.82,8.53,8.98
1990,-4.87,2.72,7.52,9.45,13.91,16.47,18.37,18.61,13.21,10.22,5.66,-1.05,-1.48,10.29,17.82,9.70,9.08
1991,-1.90,-3.16,6.13,8.35,11.40,17.52,19.74,17.86,14.76,9.07,4.61,-5.23,-2.04,8.63,18.37,9.48,8.61
1992,-4.82,-2.95,3.84,10.39,12.69,17.02,18.83,22.10,13.77,10.11,4.79,-3.64,-4.33,8.97,19.32,9.56,8.38
1993,-3.25,-5.77,1.92,8.98,15.53,17.71,18.75,19.38,13.52,11.62,-0.23,1.62,-4.22,8.81,18.61,8.30,7.88
1994,0.54,1.65,6.61,10.60,14.49,17.58,20.39,19.80,19.32,9.17,4.07,-1.17,1.27,10.57,19.26,10.85,10.49
1995,-3.97,3.77,5.14,8.71,13.37,17.53,20.64,18.33,13.52,9.98,-0.86,-1.45,-0.46,9.07,18.83,7.55,8.75
1996,-2.41,-3.65,-0.75,9.42,16.42,18.91,18.34,18.76,12.17,9.92,6.54,-0.70,-2.50,8.36,18.67,9.54,8.52
1997,-1.08,0.33,2.67,5.30,15.01,18.23,18.18,17.99,13.35,6.63,4.36,1.05,-0.48,7.66,18.13,8.11,8.36
1998,-1.18,2.01,1.44,11.45,13.38,18.34,19.51,18.94,13.56,10.70,2.03,-6.51,0.63,8.76,18.93,8.76,9.27
1999,-1.05,-1.38,5.16,10.22,13.76,18.91,20.78,19.26,16.38,9.76,2.96,-1.99,-2.98,9.71,19.65,9.70,9.02
2000,-6.22,0.27,4.09,12.31,15.41,18.76,19.91,20.44,14.29,10.47,7.91,1.40,-2.65,10.60,19.70,10.89,9.64
2001,-0.41,1.04,8.16,9.83,15.15,16.47,20.36,20.15,14.30,11.78,2.06,-8.22,0.68,11.05,18.99,9.38,10.02
2002,-3.25,4.29,5.80,9.26,16.47,18.70,21.28,18.67,14.23,9.68,6.18,-3.43,-2.39,10.51,19.55,10.03,9.42
2003,-1.63,-4.75,2.89,8.02,18.13,20.16,20.00,21.23,14.25,7.86,5.85,-1.79,-3.27,9.68,20.46,9.32,9.05
